Movie,Release Year,Duration(Hrs),Certificate,Genres,Rating,Votes
"Three Billboards Outside Ebbing, Missouri",2017,1.92,A,"Comedy, Crime, Drama",8.1,561439
Trainspotting,1996,1.55,A,Drama,8.1,731955
The Bridge on the River Kwai,1957,2.68,U,"Adventure, Drama, War",8.1,235449
Klaus,2019,1.6,7,"Animation, Adventure, Comedy",8.2,193197
Catch Me If You Can,2002,2.35,A,"Biography, Crime, Drama",8.1,1112854
Fargo,1996,1.63,A,"Crime, Thriller",8.1,733386
Warrior,2011,2.33,UA,"Action, Drama, Sport",8.1,501845
Spider-Man: No Way Home,2021,2.47,UA,"Action, Adventure, Fantasy",8.2,898377
Gran Torino,2008,1.93,UA,Drama,8.1,821019
Harry Potter and the Deathly Hallows: Part 2,2011,2.17,UA,"Adventure, Family, Fantasy",8.1,959826
Million Dollar Baby,2004,2.2,UA,"Drama, Sport",8.1,727517
My Neighbour Totoro,1988,1.43,U,"Animation, Comedy, Family",8.1,387448
Bacheha-Ye Aseman,1997,1.48,PG,"Drama, Family, Sport",8.2,81919
Mad Max: Fury Road,2015,2.0,UA,"Action, Adventure, Sci-Fi",8.1,1122565
12 Years a Slave,2013,2.23,A,"Biography, Drama, History",8.1,746981
Ben-Hur,1959,3.53,U,"Adventure, Drama",8.1,255713
Before Sunrise,1995,1.68,16,"Drama, Romance",8.1,344610
Barry Lyndon,1975,3.08,U,"Adventure, Drama, War",8.1,185423
Blade Runner,1982,1.95,UA,"Action, Drama, Sci-Fi",8.1,830610
The Grand Budapest Hotel,2014,1.65,UA,"Adventure, Comedy, Crime",8.1,896531
Hacksaw Ridge,2016,2.32,A,"Biography, Drama, History",8.1,605711
Gone Girl,2014,2.48,A,"Drama, Mystery, Thriller",8.1,1081484
Dead Poets Society,1989,2.13,U,"Comedy, Drama",8.1,555969
Salinui Chueok,2003,2.18,UA,"Crime, Drama, Mystery",8.1,221852
In the Name of the Father,1993,2.22,UA,"Biography, Crime, Drama",8.1,188813
The Gold Rush,1925,1.58,Approved,"Adventure, Comedy, Drama",8.1,119736
"Monsters, Inc.",2001,1.53,U,"Animation, Adventure, Comedy",8.1,991523
Relatos Salvajes,2014,2.03,18,"Comedy, Drama, Thriller",8.1,219254
The Deer Hunter,1978,3.05,A,"Drama, War",8.1,365609
The General,1926,1.3,Passed,"Action, Adventure, Comedy",8.1,99128
On the Waterfront,1954,1.8,A,"Crime, Drama, Thriller",8.1,166865
Jaws,1975,2.07,A,"Adventure, Drama, Thriller",8.1,669964
Sherlock Jr.,1924,0.75,Passed,"Action, Comedy, Romance",8.2,58106
How to Train Your Dragon,2010,1.63,U,"Animation, Action, Adventure",8.1,810637
Ratatouille,2007,1.85,U,"Animation, Adventure, Comedy",8.1,841130
Mary and Max,2009,1.53,U,"Animation, Comedy, Drama",8.1,188190
Le Salaire De La Peur,1953,2.18,U,"Adventure, Drama, Thriller",8.1,67389
The Third Man,1949,1.73,U,"Film-Noir, Mystery, Thriller",8.1,183656
Smultronstället,1957,1.52,U,"Drama, Romance",8.1,116212
Ford v. Ferrari,2019,2.53,UA,"Action, Biography, Drama",8.1,489450
Mr. Smith Goes to Washington,1939,2.15,U,"Comedy, Drama",8.1,122434
Maharaja,2024,2.5,Not Rated,"Action, Crime, Drama",8.6,35498
Tokyo Story,1953,2.27,U,Drama,8.1,69690
Rocky,1976,2.0,U,"Drama, Sport",8.1,636027
Logan,2017,2.28,A,"Action, Drama, Sci-Fi",8.1,851405
The Big Lebowski,1998,1.95,UA,"Comedy, Crime",8.1,868007
Det Sjunde Inseglet,1957,1.6,A,"Drama, Fantasy",8.1,200777
Room,2015,1.97,U,"Drama, Thriller",8.1,455185
Spotlight,2015,2.15,A,"Biography, Crime, Drama",8.1,506114
The Terminator,1984,1.78,A,"Action, Adventure, Sci-Fi",8.1,934780
Hotel Rwanda,2004,2.02,UA,"Biography, Drama, History",8.1,374596
Platoon,1986,2.0,UA,"Drama, War",8.1,443821
La haine,1995,1.63,Not Rated,"Crime, Drama",8.1,200161
Before Sunset,2004,1.33,A,"Drama, Romance",8.1,291658
Pirates of the Caribbean: The Curse of the Black Pearl,2003,2.38,UA,"Action, Adventure, Fantasy",8.1,1225043
La passion de Jeanne d'Arc,1928,1.83,Passed,"Biography, Drama, History",8.1,61605
Jai Bhim,2021,2.73,A,"Crime, Drama, Mystery",8.7,219264
The Best Years of Our Lives,1946,2.83,Approved,"Drama, Romance, War",8.1,71435
The Exorcist,1973,2.03,A,Horror,8.1,460685
Rush,2013,2.05,R,"Action, Biography, Drama",8.1,519212
Network,1976,2.02,UA,Drama,8.1,172774
The Wizard of Oz,1939,1.7,U,"Adventure, Family, Fantasy",8.1,432749
The Incredibles,2004,1.92,U,"Animation, Action, Adventure",8,821108
Stand by Me,1986,1.48,U,"Adventure, Comedy, Drama",8.1,447335
Hachi: A Dog's Tale,2009,1.55,U,"Biography, Drama, Family",8.1,315526
The Sound of Music,1965,2.87,U,"Biography, Drama, Family",8.1,264313
Ah-ga-ssi,2016,2.42,A,"Drama, Romance, Thriller",8.1,176616
My Father and My Son,2005,1.87,Not Rated,"Drama, Family",8.2,93581
To Be or Not to Be,1942,1.65,Approved,"Comedy, Romance, War",8.1,43875
Into the Wild,2007,2.47,U,"Adventure, Biography, Drama",8.1,663112
La battaglia di Algeri,1966,2.02,Not Rated,"Drama, War",8.1,66532
Groundhog Day,1993,1.68,U,"Comedy, Drama, Fantasy",8,692371
The Grapes of Wrath,1940,2.15,Approved,Drama,8.1,100936
The Iron Giant,1999,1.43,U,"Animation, Action, Adventure",8.1,231658
Amores perros,2000,2.57,A,"Drama, Thriller",8.1,254825
Rebecca,1940,2.17,Approved,"Drama, Mystery, Romance",8.1,148249
Cool Hand Luke,1967,2.12,U,"Crime, Drama",8.1,190210
The Help,2011,2.43,UA,Drama,8.1,498075
It Happened One Night,1934,1.75,Approved,"Comedy, Romance",8.1,113573
Aladdin,1992,1.5,U,"Animation, Adventure, Comedy",8,474008
"Paris, Texas",1984,2.42,U,Drama,8.1,122174
Andhadhun,2018,2.32,UA,"Crime, Mystery, Thriller",8.2,104392
